,close,date,high,low,open
230,83.43382,2024-05-08,83.52419,83.40982,83.44617
231,83.42918,2024-05-09,83.51169,83.39483,83.42682
232,83.53019,2024-05-10,83.53119,83.40782,83.41882
233,83.45182,2024-05-13,83.53819,83.42482,83.46582
234,83.47218,2024-05-14,83.52919,83.43282,83.47681
235,83.40218,2024-05-15,83.51669,83.37183,83.47118
236,83.45018,2024-05-16,83.50919,83.36983,83.40017
237,83.27016,2024-05-17,83.49918,83.23584,83.45018
238,83.24384,2024-05-20,83.29816,83.19685,83.25184
239,83.25916,2024-05-21,83.36917,83.18585,83.25084
240,83.25116,2024-05-22,83.31416,83.16785,83.23916
241,83.26416,2024-05-23,83.29416,83.15186,83.19085
242,83.02213,2024-05-24,83.28416,82.98887,83.26416
243,83.09114,2024-05-27,83.14165,82.99987,83.02913
244,83.14514,2024-05-28,83.19165,83.07086,83.12114
245,83.32017,2024-05-29,83.38517,83.12585,83.15714
246,83.26916,2024-05-30,83.44418,83.20585,83.31084
247,83.42117,2024-05-31,83.47918,83.20385,83.28683
248,83.05386,2024-06-03,83.16665,82.94087,83.10614
249,83.51318,2024-06-04,83.6302,83.05386,83.07214
250,83.48918,2024-06-05,83.55819,83.25584,83.49481
251,83.47918,2024-06-06,83.49419,83.32983,83.35583
252,83.49081,2024-06-07,83.50919,83.33783,83.44617
253,83.48918,2024-06-10,83.52718,83.36333,83.50919
254,83.5658,2024-06-11,83.60719,83.44582,83.47182
255,83.42117,2024-06-12,83.5872,83.39082,83.56181
256,83.50418,2024-06-13,83.55419,83.40282,83.42117
257,83.51181,2024-06-14,83.56669,83.47482,83.48582
258,83.52081,2024-06-17,83.53918,83.45782,83.50719
